date,mode,hx,hy,tau,Re,elapsed_time,iteration,epsilon
2024-01-16T23:21:51.760,6_epsilon,0.1,0.1,0.010000000000000002,100,113-milliseconds,100,1.0e-8
2024-01-16T23:37:20.902,6_epsilon,0.01,0.01,0.0001,1000,45-seconds--915-milliseconds,612,1.0e-10
2024-01-16T23:59:53.119,6_epsilon,0.01,0.01,0.0001,1000,1-minute--15-seconds--292-milliseconds,1000,1.0e-9
2024-01-17T00:01:38.774,6_epsilon,0.01,0.01,0.0001,1000,1-minute--14-seconds--967-milliseconds,2000,1.0e-9
2024-01-17T13:29:23.407,6_epsilon,0.01,0.01,0.0001,1000,1-minute--37-seconds--865-milliseconds,500,1.0e-10
2024-01-17T13:30:15.995,6_epsilon,0.01,0.01,0.0001,1000,21-seconds--462-milliseconds,612,1.0e-10
2024-01-17T13:44:40.606,6_epsilon,0.01,0.01,0.0001,1000,1-minute--58-seconds--426-milliseconds,612,1.0e-11
2024-01-17T13:50:54.374,6_epsilon,0.01,0.01,0.0001,1000,1-minute--54-seconds--3-milliseconds,612,1.0e-12
2024-01-17T13:53:06.028,6_epsilon,0.1,0.1,0.010000000000000002,100,2-seconds--756-milliseconds,1000,1.0e-8
2024-01-17T14:14:18.414,6_epsilon,0.01,0.01,0.0001,1000,2-minutes--58-seconds--150-milliseconds,1000,1.0e-9
2024-01-17T14:19:59.879,6_epsilon,0.01,0.01,0.0001,2000.0,3-minutes--15-seconds--535-milliseconds,1000,1.0e-9
2024-01-17T14:26:15.375,6_epsilon,0.01,0.01,0.0001,3000.0,3-minutes--45-seconds--552-milliseconds,1000,1.0e-9
2024-01-17T14:38:25.487,6_epsilon,0.01,0.01,0.0001,3000.0,3-minutes--38-seconds--324-milliseconds,1000,1.0e-10
2024-01-17T14:43:18.610,6_epsilon,0.01,0.01,0.0001,3000.0,3-minutes--42-seconds--48-milliseconds,1000,1.0e-11
2024-01-17T14:49:16.819,6_epsilon,0.01,0.01,1.0e-5,3000.0,2-minutes--57-seconds--179-milliseconds,1000,1.0e-9
2024-01-17T14:56:52.265,6_epsilon,0.01,0.01,1.0e-5,4000.0,2-minutes--57-seconds--187-milliseconds,1000,1.0e-10
2024-01-17T15:01:58.821,6_epsilon,0.01,0.01,1.0e-6,10000.0,2-minutes--55-seconds--192-milliseconds,1000,1.0e-10
2024-01-17T15:06:20.531,6_epsilon,0.01,0.01,1.0e-6,10000.0,2-minutes--48-seconds--12-milliseconds,2000,1.0e-10
2024-01-17T15:14:02.928,6_epsilon,0.01,0.01,1.0e-6,10000.0,2-minutes--59-seconds--844-milliseconds,3000,1.0e-10
2024-01-17T15:21:59.973,6_epsilon,0.01,0.01,1.0e-7,10000.0,1-second--32-milliseconds,5,1.0e-11
2024-01-17T15:25:15.375,6_epsilon,0.01,0.01,1.0e-6,10000.0,1-second--96-milliseconds,5,1.0e-11
2024-01-17T15:29:48.373,6_epsilon,0.01,0.01,1.0e-6,10000.0,2-minutes--47-seconds--451-milliseconds,4000,1.0e-11
2024-01-17T17:09:44.374,6_epsilon,0.01,0.01,1.0e-6,10000.0,17-minutes--50-seconds--493-milliseconds,10000,1.0e-11
2024-01-30T22:15:41.308,6_epsilon,0.01,0.01,0.0001,1000,7-seconds--918-milliseconds,100,1.0e-9
2024-01-30T22:27:50.418,6_epsilon,0.01,0.01,0.0001,1000,8-seconds--69-milliseconds,100,1.0e-8
2024-01-30T22:35:13.295,6_epsilon,0.01,0.01,0.0001,1000,7-seconds--905-milliseconds,100,1.0e-10
2024-01-30T22:35:35.603,6_epsilon,0.01,0.01,0.0001,1000,3-seconds--839-milliseconds,150,1.0e-8
2024-01-31T17:47:33.458,6_epsilon,0.01,0.01,0.01,150.0,20-seconds--346-milliseconds,100,1.0e-9
